plant_id,quantity,fuel_cost,plant_name,latitude,longitude,closest_gas_hub_symbol,distance_to_closest_gas_hub,closest_gas_hub_name,closest_gas_hub_lat,closest_gas_hub_lon,current_supplier_hub_symbol,distance_to_current_supplier,current_supplier__hub_name,current_supplier__hub_lat,current_supplier__hub_lon,current_supplier__Pvalue,dollar_saving_by_choosing_current_supplier,percent_saving_by_choosing_current_supplier
108,6662.0,4.868774542179525,Holcomb,37.9308,-100.9725,#NIDNDPMD,99.18451420490828,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,99.18451420490828,NGPL Midcontinent,37.5860701365,-99.9332808651,7.127408935048152e-06,0.0,0.0
165,1839170.0,6.652,GREC,36.190278,-95.2894,#NIENGPLD,356.3200573768306,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,356.3200573768306,NGPL Texok zone,33.116534091,-94.2033229871,0.05392370745539665,0.0,0.0
1239,967659.0,7.5729999999999995,Riverton,37.072616,-94.6987,#NIDMARKD,353.60926301746946,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,353.60926301746946,Northern Natural Demarc,39.5314213619,-97.2620816888,0.0002672267146408558,0.0,0.0
1240,92760.0,3.971,Gordon Evans Energy Center,37.7903,-97.52167,#NIDMARKD,195.12951576647387,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDNDPMD,213.65203321237658,NGPL Midcontinent,37.5860701365,-99.9332808651,7.906433165771887e-05,0.11,3.0
1248,29060.0,4.198,Hutchinson Energy Center,38.0906,-97.87472,#NIDNDPMD,189.4858612925,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,189.4858612925,NGPL Midcontinent,37.5860701365,-99.9332808651,0.0020914962515234947,0.0,0.0
1250,38558.0,3.15,Lawrence Energy Center,39.0072,-95.26917,#NIDMARKD,181.3897444911147,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,181.3897444911147,Northern Natural Demarc,39.5314213619,-97.2620816888,0.0001254976523341611,0.0,0.0
1305,1356.0,7.936999999999999,McPherson 2,38.363411,-97.68335,#NIDMARKD,135.040155989217,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDNDPMD,215.55650836263712,NGPL Midcontinent,37.5860701365,-99.9332808651,0.00652202358469367,0.11,2.0
1336,27969.0,6.170523186384925,Garden City,37.9703,-100.8956,#NIDNDPMD,94.8597916085378,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,94.8597916085378,NGPL Midcontinent,37.5860701365,-99.9332808651,0.004644699394702911,0.0,0.0
1417,13091.0,3.521398441677488,Lieberman,32.7047,-93.9597,#NIENGPLD,51.18734190902733,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,51.18734190902733,NGPL Texok zone,33.116534091,-94.2033229871,0.011685068719089031,0.0,0.0
2079,179764.0,4.171,Hawthorn,39.1306,-94.4778,#NIDMARKD,243.8474952627425,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,243.8474952627425,Northern Natural Demarc,39.5314213619,-97.2620816888,0.15283073484897614,0.0,0.0
2098,156464.0,3.1260000000000003,Lake Road (MO),39.7246,-94.8773,#NIDMARKD,205.58894382669146,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,205.58894382669146,Northern Natural Demarc,39.5314213619,-97.2620816888,0.004488928243517876,0.0,0.0
2161,38658.0,3.4210000000000003,James River Power Station,37.108611,-93.26194,#NIDMARKD,441.27327598627403,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIENGPLD,452.58035011557615,NGPL Texok zone,33.116534091,-94.2033229871,5.0941667723236606e-05,0.09,2.0
2277,2303.0,7.355,Sheldon,40.5589,-96.7847,#NIDMARKD,121.3973223874944,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,121.3973223874944,Northern Natural Demarc,39.5314213619,-97.2620816888,0.05426879599690437,0.0,0.0
2291,11925.0,5.601855345911949,North Omaha,41.32909,-95.94466,#NIDMARKD,229.13899150474512,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIOVENTAD,288.67421189682426,Ventura,43.1847784838,-93.4968330768,0.24785585701465607,0.0,0.0
2292,85112.0,3.755,Sarpy County,41.170594,-95.9706,#NIDMARKD,212.8318517063766,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,212.8318517063766,Northern Natural Demarc,39.5314213619,-97.2620816888,0.0001882923679659143,0.0,0.0
2446,673012.0,4.195,Maddox,32.714224,-103.3015,#NIWELPPD,85.38940552433445,El Paso Permian,31.9610749569,-103.129344009,#NIWWAHAD,126.48264854740417,Waha,31.5819732588,-103.189521718,0.0005552450893446803,0.11,5.0
2454,1264095.0,4.195,Cunningham,32.7131,-103.3533,#NIWELPPD,86.32438736374871,El Paso Permian,31.9610749569,-103.129344009,#NIWWAHAD,126.85905519509576,Waha,31.5819732588,-103.189521718,0.0005192776443436742,0.11,5.0
2952,919249.0,5.031000000000001,Muskogee,35.76135,-95.28732,#NIENGPLD,310.77771784722955,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,310.77771784722955,NGPL Texok zone,33.116534091,-94.2033229871,8.3175191321061e-06,0.0,0.0
2953,122792.0,9.815,Mustang,35.46988,-97.67498,#NIDNDPMD,310.3046597065725,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,310.3046597065725,NGPL Midcontinent,37.5860701365,-99.9332808651,0.0022726780734956264,0.0,0.0
2956,89764.0,5.456,Seminole,34.96645,-96.7258,#NIENGPLD,310.6996658937695,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,310.6996658937695,NGPL Texok zone,33.116534091,-94.2033229871,0.02245958149433136,0.0,0.0
2963,441752.0,4.801881075807239,Northeastern,36.4317,-95.7008,#NIDMARKD,371.2402010364368,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDNDPMD,397.53355166274497,NGPL Midcontinent,37.5860701365,-99.9332808651,0.09739863127470016,0.12,3.0
2964,640760.0,4.575877150571197,Southwestern,35.1009,-98.3524,#NIDNDPMD,310.83519858333466,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,310.83519858333466,NGPL Midcontinent,37.5860701365,-99.9332808651,0.057859428226947784,0.0,0.0
2965,132073.0,5.672683417503956,Tulsa,36.116492,-95.99097,#NIENGPLD,371.92829071391697,NGPL Texok zone,33.116534091,-94.2033229871,#NIDNDPMD,387.3596982062098,NGPL Midcontinent,37.5860701365,-99.9332808651,0.07736564427614212,0.02,0.0
3006,370699.0,7.648999999999998,Anadarko Plant,35.0847,-98.23,#NIDNDPMD,317.5762987864769,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,317.5762987864769,NGPL Midcontinent,37.5860701365,-99.9332808651,0.002044397871941328,0.0,0.0
3008,40201.0,9.777999999999999,Mooreland,36.43725,-99.22543,#NIDNDPMD,142.5254755239193,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,142.5254755239193,NGPL Midcontinent,37.5860701365,-99.9332808651,0.09126559644937515,0.0,0.0
3476,58299.0,3.740991406370606,Knox Lee,32.3766,-94.6415,#NIENGPLD,92.02011531683766,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,92.02011531683766,NGPL Texok zone,33.116534091,-94.2033229871,0.004261568188667297,0.0,0.0
3478,194475.0,4.365435377297853,Wilkes,32.848163,-94.54799,#NIENGPLD,43.91309636831586,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,43.91309636831586,NGPL Texok zone,33.116534091,-94.2033229871,0.006095658056437969,0.0,0.0
3482,1812287.0,2.2016096677844073,Jones,33.5239,-101.7392,#NIWELPPD,217.2696033433483,El Paso Permian,31.9610749569,-103.129344009,#NIWWAHAD,255.43317744127356,Waha,31.5819732588,-103.189521718,0.012300485745072365,0.11,4.0
3484,943056.0,3.193,Nichols,35.283357,-101.7464,#NIDNDPMD,303.42522884039977,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIWELPPD,391.40834228899644,El Paso Permian,31.9610749569,-103.129344009,0.7428953647613525,0.4,17.0
3485,692280.0,3.773,Plant X,34.1661,-102.4114,#NIWELPPD,254.43399613506642,El Paso Permian,31.9610749569,-103.129344009,#NIWELPPD,254.43399613506642,El Paso Permian,31.9610749569,-103.129344009,0.9261826276779175,0.0,0.0
4940,56201.0,7.725367573530719,Riverside (OK),35.9978,-95.9567,#NIENGPLD,358.74849707618563,NGPL Texok zone,33.116534091,-94.2033229871,#NIDNDPMD,396.09244877275,NGPL Midcontinent,37.5860701365,-99.9332808651,1.7359923731419258e-05,0.02,0.0
6064,2329.0,2.8089999999999997,Nearman Creek,39.1681,-94.6975,#NIDMARKD,224.4307464727629,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,224.4307464727629,Northern Natural Demarc,39.5314213619,-97.2620816888,0.2735944390296936,0.0,0.0
6074,12798.0,3.17,Greenwood (MO),38.8615,-94.2982,#NIDMARKD,266.3344710081576,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,266.3344710081576,Northern Natural Demarc,39.5314213619,-97.2620816888,0.006407788954675198,0.0,0.0
6077,18304.0,3.656,Gerald Gentleman,41.0808,-101.1408,#NIRCHEYD,307.40985484617005,Cheyenne,40.940693404,-104.79598979,#NIRCHEYD,307.40985484617005,Cheyenne,40.940693404,-104.79598979,0.5011100769042969,0.0,0.0
6096,6321.0,3.7319999999999993,Nebraska City,40.6214,-95.7764,#NIDMARKD,175.31563768753648,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,175.31563768753648,Northern Natural Demarc,39.5314213619,-97.2620816888,0.22824124991893768,0.0,0.0
6193,47013.0,2.7510000000000003,Harrington,35.29816,-101.7472,#NIDNDPMD,302.06475887652124,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIWELPPD,392.93786713846595,El Paso Permian,31.9610749569,-103.129344009,0.006927606649696827,0.4,16.0
6194,33888.0,2.6489999999999996,Tolk,34.186494,-102.57,#NIWELPPD,253.16602998655134,El Paso Permian,31.9610749569,-103.129344009,#NIWWAHAD,295.659371268075,Waha,31.5819732588,-103.189521718,0.06340435147285461,0.11,5.0
6195,96085.0,3.4210000000000003,John Twitty Energy Center,37.151706,-93.38804,#NIDMARKD,429.5611138268866,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIENGPLD,455.2776771321551,NGPL Texok zone,33.116534091,-94.2033229871,5.0941667723236606e-05,0.09,2.0
6223,74752.0,5.236000000000001,Empire Energy Center,37.1385,-94.1041,#NIDMARKD,383.3499129912757,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,383.3499129912757,Northern Natural Demarc,39.5314213619,-97.2620816888,0.002119166310876608,0.0,0.0
6373,31372.0,3.680920597985465,Rokeby,40.7316,-96.7364,#NIDMARKD,140.89497298776783,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,140.89497298776783,Northern Natural Demarc,39.5314213619,-97.2620816888,0.00019107946718577296,0.0,0.0
6469,20050.0,6.0,Antelope Valley,47.370542,-101.8357,#NIRCHEYD,753.651160671965,Cheyenne,40.940693404,-104.79598979,#NIRCHEYD,753.651160671965,Cheyenne,40.940693404,-104.79598979,0.10838811844587326,0.0,0.0
7296,949739.0,6.089016113900766,State Line Combined Cycle,37.0659,-94.614,#NIDMARKD,358.916233102321,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,358.916233102321,Northern Natural Demarc,39.5314213619,-97.2620816888,0.0005528529873117805,0.0,0.0
7887,37609.0,3.767,Terry Bundy Generating Station,40.909653,-96.61309,#NIDMARKD,163.03844516099056,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,163.03844516099056,Northern Natural Demarc,39.5314213619,-97.2620816888,5.1794908358715475e-05,0.0,0.0
7902,9311.0,3.069,Pirkey,32.4607,-94.4852,#NIENGPLD,77.62650430384835,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,77.62650430384835,NGPL Texok zone,33.116534091,-94.2033229871,0.539929986000061,0.0,0.0
7929,17783.0,6.375,West Gardner,38.7875,-94.9861,#NIDMARKD,213.18662184267131,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,213.18662184267131,Northern Natural Demarc,39.5314213619,-97.2620816888,0.009076246991753578,0.0,0.0
8000,125817.0,3.128,Beatrice,40.330184,-96.80815,#NIDMARKD,96.99357779907821,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,96.99357779907821,Northern Natural Demarc,39.5314213619,-97.2620816888,0.0003374745137989521,0.0,0.0
8059,8841.0,4.080692003167062,Comanche (OK),34.5431,-98.3244,#NIDNDPMD,368.36519527444295,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,368.36519527444295,NGPL Midcontinent,37.5860701365,-99.9332808651,0.11900594830513,0.0,0.0
10671,16961.0,3.052,River Valley,35.1931,-94.6458,#NIENGPLD,234.7274895938063,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,234.7274895938063,NGPL Texok zone,33.116534091,-94.2033229871,2.5474137146375142e-05,0.0,0.0
55065,1423192.0,2.136,Mustang Station,32.9728,-102.7417,#NIWELPPD,118.36286748957501,El Paso Permian,31.9610749569,-103.129344009,#NIWWAHAD,160.45990171262386,Waha,31.5819732588,-103.189521718,0.14325377345085144,0.11,6.0
55457,1789750.0,5.456,McClain Energy Facility,35.29774,-97.58985,#NIDNDPMD,330.02045047053696,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,330.02045047053696,NGPL Midcontinent,37.5860701365,-99.9332808651,0.026021970435976982,0.0,0.0
55463,3266048.0,3.8610000000000007,Redbud Power Plant,35.6856,-97.2264,#NIDNDPMD,321.25723896160963,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,321.25723896160963,NGPL Midcontinent,37.5860701365,-99.9332808651,0.00020130009215790778,0.0,0.0
55651,159865.0,5.0680000000000005,Spring Creek Energy Center,35.7422,-97.655,#NIDNDPMD,288.9758239285307,NGPL Midcontinent,37.5860701365,-99.9332808651,#NIDNDPMD,288.9758239285307,NGPL Midcontinent,37.5860701365,-99.9332808651,0.06659600138664246,0.0,0.0
55664,2318228.0,2.895,Harrison County Power Project,32.3958,-94.4367,#NIENGPLD,83.1532494881319,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,83.1532494881319,NGPL Texok zone,33.116534091,-94.2033229871,0.6746630668640137,0.0,0.0
55972,303.0,9.299000000000001,Cass County,40.947913,-95.96403,#NIDMARKD,192.42789941791867,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,192.42789941791867,Northern Natural Demarc,39.5314213619,-97.2620816888,0.0003141755878459662,0.0,0.0
56151,79357.0,6.166,South Harper,38.6803,-94.4824,#NIDMARKD,258.11635489330547,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,258.11635489330547,Northern Natural Demarc,39.5314213619,-97.2620816888,6.074205884942785e-05,0.0,0.0
56326,618044.0,2.6010000000000004,Mustang Station Unit 4,32.974554,-102.7436,#NIWELPPD,118.49388355968262,El Paso Permian,31.9610749569,-103.129344009,#NIWELPPD,118.49388355968262,El Paso Permian,31.9610749569,-103.129344009,0.5726644992828369,0.0,0.0
56328,9245.0,6.967601189832342,Harry D Mattison Gas Plant,36.1855,-94.2841,#NIENGPLD,341.7157481618517,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,341.7157481618517,NGPL Texok zone,33.116534091,-94.2033229871,0.06935567408800125,0.0,0.0
56502,426714.0,3.2439999999999998,Emporia Energy Center,38.445883,-96.06525,#NIDMARKD,159.1398392041665,Northern Natural Demarc,39.5314213619,-97.2620816888,#NIDMARKD,159.1398392041665,Northern Natural Demarc,39.5314213619,-97.2620816888,0.26068630814552307,0.0,0.0
56564,17913.0,3.8302916876011834,John W Turk Jr Power Plant,33.649722,-93.81194,#NIENGPLD,69.61620122788872,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,69.61620122788872,NGPL Texok zone,33.116534091,-94.2033229871,0.057239457964897156,0.0,0.0
56565,2431667.0,4.338740360419417,J Lamar Stall Unit,32.51947,-93.76013,#NIENGPLD,78.3366018952136,NGPL Texok zone,33.116534091,-94.2033229871,#NIENGPLD,78.3366018952136,NGPL Texok zone,33.116534091,-94.2033229871,0.0023708485532552004,0.0,0.0
56610,426000.0,3.737,Deer Creek Station,44.39624,-96.53332,#NIOVENTAD,278.76881712211565,Ventura,43.1847784838,-93.4968330768,#NIOVENTAD,278.76881712211565,Ventura,43.1847784838,-93.4968330768,0.3905925750732422,0.0,0.0
57943,645702.0,3.716,Lonesome Creek Station,47.796667,-103.5786,#NIRCHEYD,769.2990851370123,Cheyenne,40.940693404,-104.79598979,#NIRCHEYD,769.2990851370123,Cheyenne,40.940693404,-104.79598979,0.6805909872055054,0.0,0.0
58835,678504.0,2.697,Elk Station,33.865,-101.8433,#NIWELPPD,243.64154622691106,El Paso Permian,31.9610749569,-103.129344009,#NIWELPPD,243.64154622691106,El Paso Permian,31.9610749569,-103.129344009,0.6082295179367065,0.0,0.0
